Original Sentence,Cleaned Sentence,BERTopic Topic,Topic Probability,Predefined Topic
"Entonces este, en lugar de dejar copias, dejó los originales y se los hicieron perdedizos, ey",entonces lugar dejar copias dejó originales hicieron perdedizos ey,459,1.0,Background
"BV:	Por eso te decía yo que no sé si en el contrato original venía algo de eso, pero en general yo supe de algunos que sí se les daba una pensión como veteranos de guerra",bv decía sé si contrato original venía general supe daba pensión veteranos guerra,71,0.09876661999756639,Background
"Señor Gregorio, ¿sus papás eran originarios de aquí mismo",señor gregorio papás originarios aquí mismo,3,1.0,Background
"Usted me dice que es originario de Estación de Apulco, en Hidalgo",usted dice originario estación apulco hidalgo,-1,0.0,Background
"FD:	No, de donde fuimos, digo, originalmente, sí, ahí sí tenía una parte propia para sembrar",fd digo originalmente ahí parte propia sembrar,-1,0.0,Background
"Usted me decía, es pues originario de aquí de San Mateo Xalpa",usted decía pues originario aquí san mateo xalpa,-1,0.0,Background
", como usted acaba de decir, un odio para el mexicano, para nosotros los mexicanos legítimos, originarios de aquí",usted acaba decir odio mexicano mexicanos legítimos originarios aquí,19,1.0,Background
"VD:	Por ejemplo, usted me decía que originalmente el contrato era de cuarenta y cinco días, pero se los iban renovando",vd ejemplo usted decía originalmente contrato cuarenta cinco días iban renovando,135,1.0,Background
"IR:	Soy hijo de una familia de catorce hijos, mis padres eran originarios también del estado de Jalisco y campesinos",ir hijo familia catorce hijos padres originarios jalisco campesinos,-1,0.0,Background
"AM:	No, allí desahijamos betabel, lechuga, cebo[lla], limpiamos cebolla, todo lo que se originaba ahí, ¿verdad",allí desahijamos betabel lechuga cebolla limpiamos cebolla originaba ahí verdad,-1,0.0,Background
"JL:	Well, I was born in an hacienda called Maravillas [in] the municipality of Manuel Doblado in Guanajuato",jl well born hacienda called maravillas municipality manuel doblado guanajuato,79,0.37651696798375694,Background
"One died and twelve were born—excuse me, [twelve currently] live",one died twelve bornexcuse twelve currently live,-1,0.0,Background
"I went one year to Maravillas and another year with an ex-teacher who had been a teacher in her time, but since she was now a mother of a family, well, she did not continue to teach—but I received an additional year of school with her",went one year maravillas another year exteacher teacher time since mother family well continue teachbut received additional year school,38,0.24205783092279196,Background
"Very little, and I began to practice more, really, when I needed to communicate with my parents—with my brothers and sisters—because I was no longer with them",little began practice really needed communicate parentswith brothers sistersbecause longer,8,0.7732053163537828,Background
"So by that time there were eleven of us in the family and my father had to leave the house during the day because when debtors weren’t after him in the morning, they were after him in the afternoon or midday",time eleven us family father leave house day debtors werent morning afternoon midday,3,1.0,Background
"Although I was very young, necessity motivated me to take the initiative to leave my parents, my mother, my brothers and sisters, and, well, to take my chances",although young necessity motivated take initiative leave parents mother brothers sisters well take chances,8,0.724354408748021,Background
So one had to at least have 200 extra pesos in case you weren’t contracted for some reason—so that you could return again to your place of origin,one least 200 extra pesos case werent contracted reasonso could return place origin,2,1.0,Background
"ML:	And when you were in the United States in Lubbock, Texas, how would you communicate with your mother and your family",ml united states lubbock texas would communicate mother family,77,1.0,Background
"JL:	Oh, when I went to California I took my oldest brother so that we could help our family a little bit; they needed the help",jl oh went california took oldest brother could help family little bit needed help,21,0.21593714153738594,Background
"JL:	Well, we stayed in the same situation because as the family keeps growing so do their desires—the illusions of a better future",jl well stayed situation family keeps growing desiresthe illusions better future,23,0.572329534389687,Background
Although my mom knew we were very poor she never lost her dreams to educate someone in the family; that goal never left her mind,although mom knew poor never lost dreams educate someone family goal never left mind,-1,0.0,Background
"But in that time, in [19]68, you only had to fill out a form containing your information—your age, your parents[’ names], and that’s it",time 1968 fill form containing informationyour age parents names thats,-1,0.0,Background
But today I also feel fortunate because I have a family; I live in the United States; God gave me children who had opportunities that I didn’t have; but the important thing is that I feel like they [the opportunities] are mine,today also feel fortunate family live united states god gave children opportunities didnt important thing feel like opportunities mine,-1,0.0,Background
"They should only feel like humans with their own, with their roots, with their traditions that their parents have instilled in them",feel like humans roots traditions parents instilled,-1,0.0,Background
"FH:	Original, mi jefa era de abajo de San Juan del Río, del Cañón de los Higos",fh original jefa abajo san juan río cañón higos,79,0.417195348630636,Background
AC:	Ellos eran originarios de… Pos mi papá me parece que de… porque yo a mi papá no lo conocí,ac originarios pos papá parece papá conocí,3,1.0,Background
IA:	Ellos eran originarios de un pueblito que se llama Miguel Allende,ia originarios pueblito llama miguel allende,-1,0.0,Background
"Luego luego un pantalón Levi’s, que yo no quería un pantalón Levi’s, porque nomás los que venían del norte llevaban una camisa vaquera, una tejana y las camisas vaqueras también valían $2 dólares, los pantalones Levi’s esos, lo original pues el que es el bueno, también $2 dólares, $1",luego luego pantalón levis quería pantalón levis nomás venían norte llevaban camisa vaquera tejana camisas vaqueras valían 2 dólares pantalones levis original pues bueno 2 dólares 1,25,1.0,Background
"“No”, le dijo, “no tienes que mandar la original, saca una copia, una copia fotostática, con ésa”",dijo mandar original saca copia copia fotostática ésa,59,1.0,Background
"Pues, pues, mire yo, yo soy originario de Totatiche, Jalisco",pues pues mire originario totatiche jalisco,-1,0.0,Background
"I was born in May 1941 and worked with my father who was under contract to provide Bracero Labor camps with food and related provisions from 1941 through 1964, the year the program ended",born may 1941 worked father contract provide bracero labor camps food related provisions 1941 1964 year program ended,-1,0.0,Background
Manuel Castorena (Spanish origin) was my fathers friend and our neighbor,manuel castorena spanish origin fathers friend neighbor,33,0.019353312082057372,Background
Refugio Rochin (my father - born in Sinaloa Mexico in 1908) was a wholesaler of Mexican produce and owner of Mexican grocery stores and restaurants,refugio rochin father born sinaloa mexico 1908 wholesaler mexican produce owner mexican grocery stores restaurants,-1,0.0,Background
