Original Sentence,Cleaned Sentence,Predefined Topic,BERTopic Topic,Topic Probability
"MP:	Y cuándo se fueron ustedes, ¿les permitían llevar, no sé, cambios de ropa, cobijas, almohada, zapatos a donde iban",mp cuándo ustedes permitían llevar sé cambios ropa cobijas almohada zapatos iban,Return and Reflections / Retorno y reflexiones,87,0.7035198513778483
"HQ:	No, ellos nos contestaban luego luego que ya había llegado el dinero",hq contestaban luego luego llegado dinero,Return and Reflections / Retorno y reflexiones,194,0.2712955962576262
"Y entonces este, llegaron tres y creo que todos, pararon una pipa y se mataron creo que dos y apenas tenían como unos tres días que habían llegado",entonces llegaron tres creo pararon pipa mataron creo dos apenas tres días llegado,Return and Reflections / Retorno y reflexiones,121,0.8531575987929976
"MP:	Ya para terminar con la entrevista, no sé, algún comentario que quisiera usted hacer ya para finalizar, alguna reflexión de todo lo que vivió, bueno, malo o no sé…  NC:	Pues, ¿qué le podría decir yo",mp terminar entrevista sé algún comentario quisiera usted hacer finalizar alguna reflexión vivió bueno malo sé nc pues podría decir,Return and Reflections / Retorno y reflexiones,146,1.0
"TZ:	Sí podía, sí podía uno llevarse cambios y ahí había onde quedarse, se estaba uno, tres, cuatro días y luego ya lo contrataban para onde le tocara",tz podía podía llevarse cambios ahí onde quedarse tres cuatro días luego contrataban onde tocara,Return and Reflections / Retorno y reflexiones,269,1.0
"MP:	Ah, ¿o sea que de todas maneras ellos pagaban el viaje de regreso",mp ah todas maneras pagaban viaje regreso,Return and Reflections / Retorno y reflexiones,115,0.6008112325735205
"Y sí, luego luego, pos si sabe uno, si sabía el de cambios cuantimás de este, es nomás aquí y acá la cuestión de la herramienta, pos sí, sí le supe",luego luego pos si sabe si sabía cambios cuantimás nomás aquí acá cuestión herramienta pos supe,Return and Reflections / Retorno y reflexiones,-1,0.0
"Y luego ya nos trajieron otra vez de regreso y ahí en Fort Lupton, Colorado nos contratamos para Lamosa(",luego trajieron vez regreso ahí fort lupton colorado contratamos lamosa,Return and Reflections / Retorno y reflexiones,-1,0.0
"Yo, yo siempre pagué mis pasajes allá al pueblo y de regreso también",siempre pagué pasajes allá pueblo regreso,Return and Reflections / Retorno y reflexiones,-1,0.0
"Y luego mi hermano se enojó porque, sí el mayor así es medio, pos uno dice que es orgulloso así, pero no, este no, no es muy platicador",luego hermano enojó mayor así medio pos dice orgulloso así platicador,Return and Reflections / Retorno y reflexiones,7,1.0
"Y no, pos nos fue bien y hasta nos venimos de regreso porque todavía no empezaban a, nomás estaban repartiendo los números",pos bien venimos regreso todavía empezaban nomás repartiendo números,Return and Reflections / Retorno y reflexiones,70,0.736616340464543
", ¿usted sabe si lo mandaron de regreso el cuerpo",usted sabe si mandaron regreso cuerpo,Return and Reflections / Retorno y reflexiones,23,1.0
"LM:	Oiga don Carlos y, ¿cómo fue la vida después de haber trabajado como bracero",lm oiga carlos cómo vida después haber trabajado bracero,Return and Reflections / Retorno y reflexiones,45,1.0
"Sometimes, I would be going by when he was querying them, after their return from the farms, and he would point at me, and he would ask them, in Spanish of course, “¿Cómo los trato el Sargento Mal Pagado",sometimes would going querying return farms would point would ask spanish course cómo trato sargento mal pagado,Return and Reflections / Retorno y reflexiones,36,0.7381978390810113
RC:	What is your sense of what percentage of braceros actually returned to Mexico,rc sense percentage braceros actually returned mexico,Return and Reflections / Retorno y reflexiones,24,0.6001957581665341
"CC:	Yes, we would hear of them, and on occasion we would hear some braceros returning home on crutches or with canes",cc yes would hear occasion would hear braceros returning home crutches canes,Return and Reflections / Retorno y reflexiones,305,0.29217866386656743
"En esos días, de que estaba yo recién llegado a El Vergel, pues tuvimos que andar viviendo por acá, en casitas que había… 2do:	Prestado",días recién llegado vergel pues andar viviendo acá casitas 2do prestado,Return and Reflections / Retorno y reflexiones,139,1.0
", acuérdese que usted varias veces los que han ido de braceros al mes ya están en la, en el rancho de regreso y usted los regañaba",acuérdese usted varias veces ido braceros mes rancho regreso usted regañaba,Return and Reflections / Retorno y reflexiones,0,0.3839632624195303
"Ya me dijo: “Mire, estos son los cambios acá y acá, ya está la primera, segunda y tercera y todo”",dijo mire cambios acá acá primera segunda tercera,Return and Reflections / Retorno y reflexiones,32,0.7465655196180129
RB:	I guess it reflects more on the total immersion you were put into over there in the Mexican school,rb guess reflects total immersion put mexican school,Return and Reflections / Retorno y reflexiones,24,0.6490426669640686
"FC:	Y a usted no le tocó ahí dentro del centro en el que usted estuvo trabajando, ¿no le tocó que regresaran por ahí mismo, que pasaran por ahí o usted ya nos los veía de regreso",fc usted tocó ahí dentro centro usted trabajando tocó regresaran ahí mismo pasaran ahí usted veía regreso,Return and Reflections / Retorno y reflexiones,72,0.059242517284293084
"MP:	Y en ese tren, bueno, ¿a ustedes les permitían llevar cobijas, cambios de ropa, navajas o algo para trabajar",mp tren bueno ustedes permitían llevar cobijas cambios ropa navajas trabajar,Return and Reflections / Retorno y reflexiones,14,0.12139888730379149
"IP:	No, es orgullo, digamos que me diga, pues: “Tú eres un bracero, tú eres un persona que… “Ta bien”, ¿eso qué",ip orgullo digamos diga pues bracero persona ta bien,Return and Reflections / Retorno y reflexiones,297,1.0
"No, no para bien, porque el orgullo porque somos, tenemos orgullo a personas no le hace que nos estemos muriendo, pero hay este orgullo que, no sé, no se da uno a vencer",bien orgullo orgullo personas hace muriendo orgullo sé da vencer,Return and Reflections / Retorno y reflexiones,297,1.0
"Y entonces, pero de todos modos ya se hizo y es una orgullo para mí que lo hayan hecho y es un placer y me siento con ese orgullo de que salga esto, o que esté ahí grabado",entonces modos hizo orgullo hecho placer siento orgullo salga ahí grabado,Return and Reflections / Retorno y reflexiones,297,1.0
"JC:	No, pos sentimos, me siento orgulloso porque pos yo fui bracero y vine a trabajar aquí a Estados Unidos",jc pos sentimos siento orgulloso pos bracero vine trabajar aquí unidos,Return and Reflections / Retorno y reflexiones,-1,0.0
Cuando llegamos nosotros le notificó que habíamos llegado como sesenta y cinco trabajadores de vía,llegamos notificó llegado sesenta cinco trabajadores vía,Return and Reflections / Retorno y reflexiones,-1,0.0
"Igualmente que en Juárez le mandaban al secretario, nomás que el secretario era, general en Juárez es, en Chihuahua es sección 5 del Sindicato de Ferrocarriles, y en Juárez es este, delegación, delegado, perteneciente al mando del Secretario General de Chihuahua",igualmente juárez mandaban secretario nomás secretario general juárez chihuahua sección 5 sindicato ferrocarriles juárez delegación delegado perteneciente mando secretario general chihuahua,Return and Reflections / Retorno y reflexiones,332,0.6688907266882438
"Delegación, delegado, pero de todos modos le mandaban al secretario delegado en Juárez dinero y poco que ponía ahí el sindicato para festejarnos",delegación delegado modos mandaban secretario delegado juárez dinero ponía ahí sindicato festejarnos,Return and Reflections / Retorno y reflexiones,332,0.482249761606
"L MC:	A mí me gustaba, me convenía porque de regreso: “Vamos a llegar a echar un taquito don Lencho”",l mc gustaba convenía regreso vamos llegar echar taquito lencho,Return and Reflections / Retorno y reflexiones,-1,0.0
"FC:	Y por ejemplo, ¿qué pasaba, señora María Julia, si llegaba mucha gente y ya se había llegado la hora de cerrar de ustedes",fc ejemplo pasaba señora maría julia si llegaba mucha gente llegado hora cerrar ustedes,Return and Reflections / Retorno y reflexiones,151,0.35754208082090655
We had to make sure that the people that left came back and returned to Mexico,make sure people left came back returned mexico,Return and Reflections / Retorno y reflexiones,-1,0.0
"”  I felt bad, not only because of the illness, but because they were going to be returned to Mexico",felt bad illness going returned mexico,Return and Reflections / Retorno y reflexiones,-1,0.0
"They would be returned, and they would be given medical care",would returned would given medical care,Return and Reflections / Retorno y reflexiones,58,0.35423973179077034
"LM:	Don Nereo, cuénteme, ¿cómo fue su vida después de que dejó de trabajar como bracero",lm nereo cuénteme cómo vida después dejó trabajar bracero,Return and Reflections / Retorno y reflexiones,45,1.0
"Y no salía equivocado con nada, lírico, el que tuve ese orgullo de ser hasta patrón se puede decir",salía equivocado lírico orgullo ser patrón puede decir,Return and Reflections / Retorno y reflexiones,297,0.6564976194764365
"It was a case study of Chihuahua, and the history of where they went, what they did, the type of work they did, and what impact this had on different communities",case study chihuahua history went type work impact different communities,Return and Reflections / Retorno y reflexiones,457,1.0
"I went down there and talked to them, you know, the presidentes, priests, businessmen, and returned braceros",went talked know presidentes priests businessmen returned braceros,Return and Reflections / Retorno y reflexiones,-1,0.0
"RH:	The return process, well, we would just take them when the farmer was done",rh return process well would take farmer done,Return and Reflections / Retorno y reflexiones,0,1.0
"Se le podía dar permiso hasta un mes, mes y medio, pero ya tenía que estar de regreso en febrero",podía dar permiso mes mes medio regreso febrero,Return and Reflections / Retorno y reflexiones,46,0.2684233040708658
"If they were caught in transit, say from the border to the farm, they would get picked up and returned back to Mexico",caught transit say border farm would get picked returned back mexico,Return and Reflections / Retorno y reflexiones,-1,0.0
"De regreso nomás a, ahí hasta El Paso, ahí nos echaban para afuera y de ahí para allá ya corría a cuenta de nosotros",regreso nomás ahí paso ahí echaban afuera ahí allá corría cuenta,Return and Reflections / Retorno y reflexiones,-1,0.0
"Pero por cosas del destino, pos tuve que, pos cruzar la frontera, primero ilegal; ya después me legalicé y todo y pos no, no digo que estoy muy bien económicamente aquí, pero me siento feliz en mi país, me siento orgulloso de poseer la ciudadanía en este país pobremente",cosas destino pos pos cruzar frontera primero ilegal después legalicé pos digo bien económicamente aquí siento feliz país siento orgulloso poseer ciudadanía país pobremente,Return and Reflections / Retorno y reflexiones,30,0.8428514386691203
"FC:	Ah, qué bien  RF:	Y nos sentimos orgullosos de él, pobremente nos sentimos orgullosos",fc ah bien rf sentimos orgullosos pobremente sentimos orgullosos,Return and Reflections / Retorno y reflexiones,297,1.0
"RF:	Pos ahí, de recién llegado luego luego, mi dispensa mucho, lo fumigaban a uno con polvo pa ver si traiba algo, infección, lo que sea",rf pos ahí recién llegado luego luego dispensa fumigaban polvo pa ver si traiba infección,Return and Reflections / Retorno y reflexiones,209,0.9193429028458064
"FC:	Cuando lo renovaba, ¿tenía que ir de regreso ahí a Río Vista a renovarlo",fc renovaba ir regreso ahí río vista renovarlo,Return and Reflections / Retorno y reflexiones,4,0.43578134831339077
"Últimamente me acuerdo Víctor Hugo, yo he leído las entrevistas, Víctor Hugo Saavedra le preguntó a un grupo una vez allá, no me acuerdo en qué parte los entrevistó y luego le dijo: “Pos han llegado, pero no, que andan en eso… Son personas que en esa cuestión, que muchos no, pos no tenemos escuela y no sé que",últimamente acuerdo víctor hugo leído entrevistas víctor hugo saavedra preguntó grupo vez allá acuerdo parte entrevistó luego dijo pos llegado andan personas cuestión pos escuela sé,Return and Reflections / Retorno y reflexiones,290,0.29376359283989434
"Cuando íbamos a las… Las chamaquitas saliendo de la escuela y les supieron ahí yo creo por periódico, yo creo o algo, que había llegado una compañía de cierto lugar (ininteligible) por la guerra, así era",íbamos chamaquitas saliendo escuela supieron ahí creo periódico creo llegado compañía cierto lugar ininteligible guerra así,Return and Reflections / Retorno y reflexiones,-1,0.0
"Que habían llegado braceros a trabajar ahí y ahí nos estacionamos nosotros en Union City, en ese lugar ahí",llegado braceros trabajar ahí ahí estacionamos union city lugar ahí,Return and Reflections / Retorno y reflexiones,-1,0.0
"JT:	No, no, todavía no, hasta… él llegó después de regreso pa atrás por ahí de, allá de noviembre yo creo, ey",jt todavía llegó después regreso pa atrás ahí allá noviembre creo ey,Return and Reflections / Retorno y reflexiones,46,0.4829224165620613
Para el invierno me voy pa allá un mes y ya me regreso,invierno voy pa allá mes regreso,Return and Reflections / Retorno y reflexiones,46,0.31115238059057715
FC:	¿O sea que usted ya se fue a Chihuahua sabiendo que tenía trabajo de regreso acá,fc usted chihuahua sabiendo trabajo regreso acá,Return and Reflections / Retorno y reflexiones,15,1.0
"Y luego apenas habíamos llegado nosotros ahí y estábamos ahí, como yo fui uno de los primeros que llegué el 7 de abril, el 9 de abril ahí, a ese campo y tenía el número siete y luego nomás llegué y entregamos los tíquetes y entonces me habló",luego apenas llegado ahí ahí primeros llegué 7 abril 9 abril ahí campo número siete luego nomás llegué entregamos tíquetes entonces habló,Return and Reflections / Retorno y reflexiones,46,0.20089002966328393
", sí este, echa uno su pecho al agua, si Dios me concede y regreso bien y si no, también",echa pecho agua si dios concede regreso bien si,Return and Reflections / Retorno y reflexiones,44,0.7820021081644571
"Sí, y este, y cincuenta y cinco días y ahí veníamos de regreso, sí",cincuenta cinco días ahí veníamos regreso,Return and Reflections / Retorno y reflexiones,134,1.0
"VD:	Y a ver, déjeme me regreso y le voy a preguntar, aquella vez en el [19]55 que se fue, ¿dónde se contrató",vd ver déjeme regreso voy preguntar aquella vez 1955 dónde contrató,Return and Reflections / Retorno y reflexiones,8,0.6470584558780297
"Y sí, ya pos los, ya habían llegado a onde los agarraba el patrón y se iban para Pecos, Texas",pos llegado onde agarraba patrón iban pecos texas,Return and Reflections / Retorno y reflexiones,16,0.30619355017588495
"Mucha gente decía: “No, mejor me regreso pero no voy a Pecos, Texas, sí”",mucha gente decía mejor regreso voy pecos texas,Return and Reflections / Retorno y reflexiones,16,0.6403950984932418
"Anda en todo Estados Unidos y lo bonito que él lleva y a donde lleva la carga, lo están esperando pa cargarlo de regreso a otro lado",anda unidos bonito lleva lleva carga esperando pa cargarlo regreso lado,Return and Reflections / Retorno y reflexiones,-1,0.0
"”, dice, “y por ahí unos cuatro más de tus allegados”, dice, “dime”",dice ahí cuatro allegados dice dime,Return and Reflections / Retorno y reflexiones,97,0.7948965387626392
"Y este, y no les gustó, pero en menos de media de hora ya habíamos llegado, andando",gustó menos media hora llegado andando,Return and Reflections / Retorno y reflexiones,244,1.0
"VD:	O sea que entonces, a ver, deje me regreso un poquito, cuando a usted le dijeron que si se quería ir, ¿por qué fue que usted se animó, señor Tello, a irse a Estados Unidos",vd entonces ver deje regreso poquito usted dijeron si quería ir usted animó señor tello irse unidos,Return and Reflections / Retorno y reflexiones,-1,0.0
"Y nos quedamos los, los que apenas habíamos llegado, pero pues éramos ahí como unos cuatrocientos, los que estábamos en ese campo",quedamos apenas llegado pues ahí cuatrocientos campo,Return and Reflections / Retorno y reflexiones,110,0.45328820612831155
"Y así, y llega uno allá y luego ve que alguien este, no le habla o que es orgulloso y eso y como que siente un poco feo",así llega allá luego alguien habla orgulloso feo,Return and Reflections / Retorno y reflexiones,2,1.0
"Le digo “Aquí le dejo otra vez la bolsa, luego regreso”",digo aquí dejo vez bolsa luego regreso,Return and Reflections / Retorno y reflexiones,-1,0.0
"Y que en ese troque lleno que mandó el patrón, ya había otras personas que ya tenían ocho días que habían llegado",troque lleno mandó patrón personas ocho días llegado,Return and Reflections / Retorno y reflexiones,49,0.7229189628007302
"Esos pensamientos, pues inútiles, porque pos bendito sea Dios no, nunca, cuando jui nunca se me enfermaron",pensamientos pues inútiles pos bendito dios nunca jui nunca enfermaron,Return and Reflections / Retorno y reflexiones,51,1.0
"Ahí había llegado varias veces y le dije, le digo, se llama José: “¿Qué pasó, Chente",ahí llegado varias veces dije digo llama josé pasó chente,Return and Reflections / Retorno y reflexiones,33,0.6344213636620902
"Pero ya el mayordomo era de por aquí, de Durango y me quería mucho y ya cuando supo que había gente que había llegado ahí; porque él iba también por gente, y ya preguntó por mí, ya le dieron razón que sí yo andaba ahí",mayordomo aquí durango quería supo gente llegado ahí iba gente preguntó dieron razón andaba ahí,Return and Reflections / Retorno y reflexiones,-1,0.0
"VD:	Y usted señor Cirino, ya como pues, una última reflexión",vd usted señor cirino pues última reflexión,Return and Reflections / Retorno y reflexiones,-1,0.0
"Entonces ahí gracias a que yo ya hablaba inglés, hablé con ése y lo convencí y ya, ya nos dejaron proseguir el camino de regreso en el tren a nuestro campamento",entonces ahí gracias hablaba inglés hablé ése convencí dejaron proseguir camino regreso tren campamento,Return and Reflections / Retorno y reflexiones,43,0.9054398672988373
VD:	Fue peor el regreso con la misma gente de aquí,vd peor regreso misma gente aquí,Return and Reflections / Retorno y reflexiones,-1,0.0
"Al otro día y como es tierra que se pinta el zapato, la llanta, al otro día y que llega el patrón y que empieza, sí, que me pregunta que quién, que quién había llegado, pos él nomás entraba ahí con su carro, con su camioneta y que le digo este, le enseñé está vista una caja vacía de cigarros",día tierra pinta zapato llanta día llega patrón empieza pregunta quién quién llegado pos nomás entraba ahí carro camioneta digo enseñé vista caja vacía cigarros,Return and Reflections / Retorno y reflexiones,21,0.15969874755996866
"Muchos que fueron llegados a México presentes, también allá los sacaban, sí, salían unos vestidos igual como aquí el 16 [de Septiembre]",llegados méxico presentes allá sacaban salían vestidos igual aquí 16 septiembre,Return and Reflections / Retorno y reflexiones,169,0.23586244640504128
"VD:	Y ya nada más, pues como, como una última, pues como una última reflexión, ahora ya la distancia, señor Guadalupe, ¿qué recuerdos le quedan en general de su tiempo como bracero",vd pues última pues última reflexión ahora distancia señor guadalupe recuerdos quedan general tiempo bracero,Return and Reflections / Retorno y reflexiones,221,0.41376094176170963
"Hijos de la chingada, me dio un coraje, bueno, yo me jui pa ser el primero, si hubiera encontrado otro adelantito, chingue su madre, yo me regreso a cenar",hijos chingada dio coraje bueno jui pa ser primero si encontrado adelantito chingue madre regreso cenar,Return and Reflections / Retorno y reflexiones,3,0.9651420439564764
"Y se va la patrulla y ya cuando llegó la patrulla al campo, ya nosotros ya habíamos llegado y entraron a las barracas y yo estaba: “Grr, grr”",va patrulla llegó patrulla campo llegado entraron barracas grr grr,Return and Reflections / Retorno y reflexiones,125,0.12296256105065778
"Y luego este, cuando veníamos de regreso, venía el carro de ellos con gente, también nosotros, ¿no",luego veníamos regreso venía carro gente,Return and Reflections / Retorno y reflexiones,79,0.7740688784441825
"Ya quería yo venirme, digo si regreso bien, si no, ¿vedá",quería venirme digo si regreso bien si vedá,Return and Reflections / Retorno y reflexiones,-1,0.0
"HS:	Sí, me siento este, pues orgulloso de haber estado allá porque hay mucha gente que dice que los gringos lo tratan a uno mal y en lo que a mí me tocó no",hs siento pues orgulloso haber allá mucha gente dice gringos tratan mal tocó,Return and Reflections / Retorno y reflexiones,18,0.4938830418245516
Me voy al pueblo a traer provisión y cuando regreso ya estaba mi cama tendida y mi ropa colgada y planchada,voy pueblo traer provisión regreso cama tendida ropa colgada planchada,Return and Reflections / Retorno y reflexiones,-1,0.0
"Dice: “Y lo dejo solo y regreso en la tarde por usted y usted sabe que no me bajo de la camioneta a ver qué ha hecho”, dice, “pero después regreso”",dice dejo solo regreso tarde usted usted sabe bajo camioneta ver hecho dice después regreso,Return and Reflections / Retorno y reflexiones,-1,0.0
"HM:	Yo he estado en muchas partes, he andado con personas que son adictas a ciertas cosas, han llegado a ponerme las pastillas o lo que sea en la mano, lo que sea, el único hábito que se me quedó fue el de trabajar, ese sí",hm muchas partes andado personas adictas ciertas cosas llegado ponerme pastillas mano único hábito quedó trabajar,Return and Reflections / Retorno y reflexiones,-1,0.0
"VD:	Oiga, y de regreso cuando ya se vino otra vez para acá, ¿le costó trabajo adaptarse a la vida aquí otra vez",vd oiga regreso vino vez acá costó trabajo adaptarse vida aquí vez,Return and Reflections / Retorno y reflexiones,-1,0.0
", ya ahí en el rancho, ya había llegado una circular, o sea un oficio como dicen, ¿no",ahí rancho llegado circular oficio dicen,Return and Reflections / Retorno y reflexiones,0,1.0
"VD:	Pues, señor Heriberto, ya por último, ya nada más como, este, pues una reflexión a la distancia",vd pues señor heriberto último pues reflexión distancia,Return and Reflections / Retorno y reflexiones,-1,0.0
"Como le acabo de decir, mi padre, yo, es un orgullo tener, el haber tenido un padre así, porque mi padre y mi madre como pues, como le digo fueron muy humildes",acabo decir padre orgullo tener haber padre así padre madre pues digo humildes,Return and Reflections / Retorno y reflexiones,-1,0.0
"GC:	Y ya no, me quedé en 1959, yo salía en, si me hubiera prestado vida en aquel, bueno, vida sí, hubiera llegado al termino, pues a lo mejor no hubiera visto a mi padre, digo",gc quedé 1959 salía si prestado vida aquel bueno vida llegado termino pues mejor visto padre digo,Return and Reflections / Retorno y reflexiones,-1,0.0
"GC:	Tampoco nunca tuve el orgullo de decir: “Fui a Oregon”, o, “fui a Washington”, o, “fui a Nevada”, todo eso de por ahí, no",gc tampoco nunca orgullo decir oregon washington nevada ahí,Return and Reflections / Retorno y reflexiones,13,1.0
"Pues nos cambiaron, ahí estuvimos algunos cambios, como tres o cuatro, no recuerdo por ahí casi",pues cambiaron ahí cambios tres cuatro recuerdo ahí casi,Return and Reflections / Retorno y reflexiones,97,1.0
"Pero sí, alguna vez sí oí yo que nos haigan llegado a visitar",alguna vez oí haigan llegado visitar,Return and Reflections / Retorno y reflexiones,-1,0.0
VD:	Yo creo que ha habido cambios importantes pero pues usted sabe que a veces son prácticas muy difíciles de eliminar de la gente,vd creo cambios importantes pues usted sabe veces prácticas difíciles eliminar gente,Return and Reflections / Retorno y reflexiones,-1,0.0
"VD:	Recuerda usted, ah bueno, y ése después ya de regreso en Chicago, me decía",vd recuerda usted ah bueno ése después regreso chicago decía,Return and Reflections / Retorno y reflexiones,106,1.0
"Y le dije: “Si me reportas con el patrón me regreso, te lo juro por mi madre, me regreso",dije si reportas patrón regreso juro madre regreso,Return and Reflections / Retorno y reflexiones,-1,0.0
Llego al campo y me regreso y al cabo que llevo el domicilio de acá y te mueres hijo,llego campo regreso cabo llevo domicilio acá mueres hijo,Return and Reflections / Retorno y reflexiones,-1,0.0
"Y yo, mi esposa la quiero mucho, la respeto porque me ha dado mis hijos, estoy muy orgulloso",esposa quiero respeto dado hijos orgulloso,Return and Reflections / Retorno y reflexiones,12,1.0
"Por lo tanto estoy muy orgulloso de mi esposa que me dio, pues mis hijos muy estudiosos y ya me voy con ese gusto de este mundo",orgulloso esposa dio pues hijos estudiosos voy gusto mundo,Return and Reflections / Retorno y reflexiones,12,1.0
De todos modos no se van muy lejos porque el compromiso es del Gobierno mexicano te entrega y el Gobierno de acá tiene que entregarte de regreso,modos van lejos compromiso gobierno mexicano entrega gobierno acá entregarte regreso,Return and Reflections / Retorno y reflexiones,191,0.586854007798364
"LS:	Bueno yo, yo andaba en la ciudad de Oaxaca por allá haciendo unas compras y ya este, pues ya había nociones así, ya todo estaba así de, de que la gente estaba pues en sobre aviso, que habían llegado americanos a contratar gente, ¿no",ls bueno andaba ciudad oaxaca allá haciendo unas compras pues nociones así así gente pues aviso llegado americanos contratar gente,Return and Reflections / Retorno y reflexiones,18,0.3399601761169902
"Yo siempre tuve la ilusión de decir, yo regreso a trabajar, no sé ni cómo le haga, pero yo, yo de, de hacer pie allá jamás, yo habiendo trabajo yo regreso pa acá",siempre ilusión decir regreso trabajar sé cómo haga hacer pie allá jamás trabajo regreso pa acá,Return and Reflections / Retorno y reflexiones,-1,0.0
"Imagínese que ta uno trabajando, voy y tomo agua y me regreso y ya no había problema de, de tomar tiempo",imagínese ta trabajando voy tomo agua regreso problema tomar tiempo,Return and Reflections / Retorno y reflexiones,-1,0.0
"Y él se peleaba con uno, lo echábamos a un lado porque no, no coincidía con nuestro, nuestros pensamientos, pues",peleaba echábamos lado coincidía pensamientos pues,Return and Reflections / Retorno y reflexiones,-1,0.0
"VD:	A su regreso, ¿qué cosas compró por allá, señor Manuel",vd regreso cosas compró allá señor manuel,Return and Reflections / Retorno y reflexiones,27,1.0
"Es que en los cambios que ha habido de movimiento de casas, pues esto ya no sirve, esto ya no sirve, a la basura",cambios movimiento casas pues sirve sirve basura,Return and Reflections / Retorno y reflexiones,301,0.6984723830162058
"VD:	Y a la distancia, señor Manuel, después de varios años que usted se recuerde que, pues esa experiencia, ¿qué impacto tuvo en su vida haber estado por allá en Estados Unidos",vd distancia señor manuel después varios años usted recuerde pues experiencia impacto vida haber allá unidos,Return and Reflections / Retorno y reflexiones,221,0.4518985234753963
"VD:	Y, ¿le costó trabajo adaptarse a su regreso, señor Manuel, a la vida de aquí",vd costó trabajo adaptarse regreso señor manuel vida aquí,Return and Reflections / Retorno y reflexiones,-1,0.0
"Luego voy así a visitarlos, estoy una temporada y me regreso",luego voy así visitarlos temporada regreso,Return and Reflections / Retorno y reflexiones,115,0.6187744232280032
"Mi cuñado hasta tenía praditos ahí, le gustaba mucho plantar plantas como pensamientos y todas esas hierbitas, muy curioso",cuñado praditos ahí gustaba plantar plantas pensamientos todas hierbitas curioso,Return and Reflections / Retorno y reflexiones,7,1.0
"Se llegó la hora de la contratación y fuimos y no estaba, porque muchas veces íbamos y no había nada de contratación y ya de regreso ahí a la casa esa donde llegábamos que nos daban permiso",llegó hora contratación muchas veces íbamos contratación regreso ahí casa llegábamos daban permiso,Return and Reflections / Retorno y reflexiones,-1,0.0
