Original Sentence,Cleaned Sentence,BERTopic Topic,Topic Probability,Predefined Topic
"BM:	All right, well—I gather that you don’t think it’s appropriate for the bracero program to be reinstated",bm right welli gather dont think appropriate bracero program reinstated,36,0.8874777275770773,Migration Motivation
"Labor unions have a lot of power, you know, so for that reason, I don’t think the bracero program will be reinstated",labor unions lot power know reason dont think bracero program reinstated,-1,0.0,Migration Motivation
"DH:	The bracero program would fill a void right now for the chile industry, because they’re working on a mechanical chile picker, but it hasn’t been perfected to be real efficient",dh bracero program would fill void right chile industry theyre working mechanical chile picker hasnt perfected real efficient,-1,0.0,Migration Motivation
"But if that labor gets a little too costly, now it is more costly than what the bracero program used to be, then the work on the mechanical picker will be accelerated to the point where they can get it perfected in a short amount of time",labor gets little costly costly bracero program used work mechanical picker accelerated point get perfected short amount time,69,0.08178055700623288,Migration Motivation
"(laughs)  BM:	Well, is there anything that you would like to say about your years of working with the bracero program and what it contributed to your farm in particular",laughs bm well anything would like say years working bracero program contributed farm particular,1,1.0,Migration Motivation
"DH:	All I can say is the bracero program, when it was in operation, it provided a real service for the farmer that was badly needed, and it also provided the people of Mexico a job where they could improve their living in Mexico, too",dh say bracero program operation provided real service farmer badly needed also provided people mexico job could improve living mexico,-1,0.0,Migration Motivation
"That is to say, he was a general contractor, a very small general contractor",say general contractor small general contractor,4,1.0,Migration Motivation
He and I got together one time after I had become a contractor,got together one time become contractor,323,0.4359983244571367,Migration Motivation
EB:	Dad maneuvered a new contract with Mr,eb dad maneuvered new contract mr,-1,0.0,Migration Motivation
I don’t recall if it was the first year of the Bracero Program or not,dont recall first year bracero program,36,0.32227458815033105,Migration Motivation
"It was in his interest, as far as the labor was concerned, to have some input into making sure the Bracero Program was a reality",interest far labor concerned input making sure bracero program reality,-1,0.0,Migration Motivation
"If I’m not mistaken, it was Antonio Bermudez, in Juarez, who came up with the idea of a Bracero Program",im mistaken antonio bermudez juarez came idea bracero program,36,1.0,Migration Motivation
"Every farmer would contract, it was all worked out legally, at Rio Vista",every farmer would contract worked legally rio vista,1,0.9382692894439163,Migration Motivation
"As each farmer neared his crop need for labor, he would contract for so many, and they would send them out in buses, usually at night, because it was cooler then",farmer neared crop need labor would contract many would send buses usually night cooler,1,0.990070475225073,Migration Motivation
"They knew they couldn’t get out of there, because that would void their contract, they would send them right back",knew couldnt get would void contract would send right back,4,1.0,Migration Motivation
"Remember they were being paid as contract labor, no salaries involved",remember paid contract labor salaries involved,4,1.0,Migration Motivation
"They were very, very serious and industrious, while there was daylight, and there was work to be done, they did it, because this is what they were here for, to make money, there was never any questions about their motivations",serious industrious daylight work done make money never questions motivations,-1,0.0,Migration Motivation
"All of the American agencies that were involved in the Bracero Program, on this side, all had representatives down there, this would have been the Border Patrol, Customs, certainly the United States Health Service, there were all the guys who did the x-raying and the doctors who did their examining and all of that",american agencies involved bracero program side representatives would border patrol customs certainly united states health service guys xraying doctors examining,339,1.0,Migration Motivation
"They were working on them, because the cost of labor, which had been terrific in the early years of the Bracero Program, now was climbing up, because of the requirements from the Mexican government who was hell bent on having to protect their people",working cost labor terrific early years bracero program climbing requirements mexican government hell bent protect people,-1,0.0,Migration Motivation
FC:	Would you please describe your role in the bracero program during that time,fc would please describe role bracero program time,36,0.46015850071492,Migration Motivation
"FG:	Okay, at the Rio Vista center we had, first of all, different departments, which was immigration, I worked directly for the Department of Labor under the bracero program at Rio Vista, but there were in one department alone, I would say, at least a hundred people, that I can recall",fg okay rio vista center first different departments immigration worked directly department labor bracero program rio vista one department alone would say least hundred people recall,61,1.0,Migration Motivation
"FC:	And after that, you filled out the contract as well or that was not part of the—  FG:	We filled out contracts also, all the time, when we would be filling out contracts",fc filled contract well part fg filled contracts also time would filling contracts,4,1.0,Migration Motivation
"We would go right into our assignments, which was either typing the mica cards, or typing contracts, or taking the fingerprints, because we used to fingerprint them, or other duties that were assigned to us",would go right assignments either typing mica cards typing contracts taking fingerprints used fingerprint duties assigned us,-1,0.0,Migration Motivation
"You worked, for example, with the employers, you said you filled out some contracts",worked example employers said filled contracts,4,1.0,Migration Motivation
"FG:	They handled a lot of the contracts for the farmers in the surrounding area, in the El Paso area",fg handled lot contracts farmers surrounding area paso area,1,1.0,Migration Motivation
FC:	El Paso Cotton Association was one of the contractors at the Rio Vista center,fc paso cotton association one contractors rio vista center,-1,0.0,Migration Motivation
"FG:	We handled the inspections of the units of the braceros that were working out in Pecos or the El Paso Cotton Association, which was the El Paso area, Monahans, all the surrounding areas in the southwest that had bracero programs",fg handled inspections units braceros working pecos paso cotton association paso area monahans surrounding areas southwest bracero programs,-1,0.0,Migration Motivation
"As Department of Labor, our job was to oversee that those contracts that the employers signed were being met, whether it was through housing, through medical care, through other things that were specified in the contract",department labor job oversee contracts employers signed met whether housing medical care things specified contract,4,0.978331643901046,Migration Motivation
"We helped the braceros, we covered their lost wages, their benefits, and follow through to see that nothing was in violation, serious violation, for the contracts needed to be terminated",helped braceros covered lost wages benefits follow see nothing violation serious violation contracts needed terminated,4,0.5498174787253038,Migration Motivation
"FC:	That was defined for the employer, if you found that they didn’t actually meet all the requirements, their contracts were—  FG:	They could, in other words, if an employer was found to be violating a contract, and it was a serious violation that could not be remedied, or taken care of, or there was back wages they needed to pay, or there’s anything else that was serious and could not be taken care of, the contract for that employer could be terminated where they could not hire anymore braceros",fc defined employer found didnt actually meet requirements contracts fg could words employer found violating contract serious violation could remedied taken care back wages needed pay theres anything else serious could taken care contract employer could terminated could hire anymore braceros,4,1.0,Migration Motivation
"FG:	Yes, they would check to see if they had screens in their doors, that they had water inside, that there were bathrooms, all of these general needs that were specified in the contract, that’s what they were checking for",fg yes would check see screens doors water inside bathrooms general needs specified contract thats checking,389,1.0,Migration Motivation
"Was there minimum or maximum number of hours that they—  FG:	I don’t, I cannot really say they had—they would, you know, we knew that this man was willing to work over there eight hours, but I don’t know if the contract specified that or not",minimum maximum number hours fg dont cannot really say hadthey would know knew man willing work eight hours dont know contract specified,81,0.6841255916242234,Migration Motivation
"FG:	The inspectors were out, like I said, every day of the week, but they would, I don’t know whether they were assigned the area or they came back according to the length of the contract",fg inspectors like said every day week would dont know whether assigned area came back according length contract,-1,0.0,Migration Motivation
"If they were going to be six months there, they might check on them every two months, or every three months, or if need be, every month, but not necessarily because of the number of other contractors or employers that were in the areas",going six months might check every two months every three months need every month necessarily number contractors employers areas,-1,0.0,Migration Motivation
"Did they, inspectors talk to [employers] or how was—  FG:	The inspectors would talk to employers, they were notified as to what the findings were, and they were given, in writing, what they had to do to correct any deficiencies found during the inspections or check into the contracts",inspectors talk employers fg inspectors would talk employers notified findings given writing correct deficiencies found inspections check contracts,389,0.7497571869243715,Migration Motivation
"FG:	They met with the braceros, talked to them, they would follow up to see whatever the contract was, if it was met, not only the side of the employer, they were also taking care of the bracero themselves",fg met braceros talked would follow see whatever contract met side employer also taking care bracero,4,1.0,Migration Motivation
"FG:	One was doing an inspection of contracts, the other was checking to see that these were legal workers",fg one inspection contracts checking see legal workers,-1,0.0,Migration Motivation
"FC:	During that time, in general, the contractors met the requirements or the inspectors had, like, several problems",fc time general contractors met requirements inspectors like several problems,389,1.0,Migration Motivation
"FG:	We had translators, well, we had to translate the whole contract, whatever they were signing at the time",fg translators well translate whole contract whatever signing time,4,1.0,Migration Motivation
"FC:	Let’s say the employer knows they are going to come back, why did they go back to Mexico, because their contract was ended",fc lets say employer knows going come back go back mexico contract ended,118,0.4740287188455276,Migration Motivation
"What do you think were the effects of the bracero program, here on the United States",think effects bracero program united states,36,0.6455582699602338,Migration Motivation
FC:	What do you think are the advantages and disadvantages of having the bracero program,fc think advantages disadvantages bracero program,36,0.7920610113632387,Migration Motivation
"Por eso digo el Bracero Program comenzó en el [19]42 durante la guerra, ¿verdad",digo bracero program comenzó 1942 guerra verdad,103,0.37887768281436535,Migration Motivation
BM:	Can you describe for me what your role was in the Bracero Program as a county agent,bm describe role bracero program county agent,36,0.4702692910073978,Migration Motivation
"By and large, as I remember this, it was mostly to pick cotton that the Bracero Program was in effect in Doña Ana County",large remember mostly pick cotton bracero program effect doña ana county,7,0.48958928832367227,Migration Motivation
"BM:	In your opinion, what affect did the Bracero Program have on undocumented workers coming into the county",bm opinion affect bracero program undocumented workers coming county,-1,0.0,Migration Motivation
"As a whole, I think the Bracero Program was what was relied on during that time",whole think bracero program relied time,36,1.0,Migration Motivation
BM:	Do you think that the fact that the Bracero Program was in effect reduced the number of illegals crossing,bm think fact bracero program effect reduced number illegals crossing,-1,0.0,Migration Motivation
"I wanted to know if there was any awareness, on your part, of such farmers, and if you had any responsibility for trying to make them legal by bringing them into the Bracero Program",wanted know awareness part farmers responsibility trying make legal bringing bracero program,1,1.0,Migration Motivation
BM:	What affect did the Bracero Program have on the productivity of Doña Ana County farms,bm affect bracero program productivity doña ana county farms,36,0.309458807694683,Migration Motivation
BM:	Could you describe for me your personal opinion of the Bracero Program as a whole,bm could describe personal opinion bracero program whole,36,1.0,Migration Motivation
BM:	Do you think it would be a good idea to revive the Bracero Program,bm think would good idea revive bracero program,36,1.0,Migration Motivation
BM:	Is there anything that stands out in your mind about the time that you were working with the Bracero Program that you would like to talk about,bm anything stands mind time working bracero program would like talk,36,1.0,Migration Motivation
"In Pecos and Reeves County it was cotton, okay, and it was a contract that they had, they contracted with farmworkers and each farmworker would say, “I’ll take two hundred workers",pecos reeves county cotton okay contract contracted farmworkers farmworker would say ill take two hundred workers,-1,0.0,Migration Motivation
"”  Then at the end of their term of working, at the end of the contract that the bracero had, he would have an immigrant visa to come and work, a working visa, a specific working visa, I don’t know, I think they were called H-1 or H-2",end term working end contract bracero would immigrant visa come work working visa specific working visa dont know think called h1 h2,40,0.6077980667354842,Migration Motivation
"You did, like, a contract or something, but the contractor wasn’t there to pick them up that very same day",like contract something contractor wasnt pick day,4,1.0,Migration Motivation
"And when they finish the contract, let’s say, it was from September to November or any given time, did they have to go back to your offices, like to sign a paper saying they finished the contract",finish contract lets say september november given time go back offices like sign paper saying finished contract,4,1.0,Migration Motivation
"But I’m thinking that that was part of the government contract that we had, that we were to provide medical help for them if they so needed it",im thinking part government contract provide medical help needed,-1,0.0,Migration Motivation
LG:	Their job was to see that the farmers were complying with the requirements that had been set forth in the contract,lg job see farmers complying requirements set forth contract,1,0.8484079662072398,Migration Motivation
"It was a good idea, the bracero program, because the farmers benefit tremendously from having them, workers, there, workers who were, who wanted to work",good idea bracero program farmers benefit tremendously workers workers wanted work,1,1.0,Migration Motivation
"FC:	Do you remember, like, the minimum wage that they established in the contracts back then",fc remember like minimum wage established contracts back,4,1.0,Migration Motivation
FC:	Did you ever hear about the farm contractors not complying to the requirements,fc ever hear farm contractors complying requirements,1,1.0,Migration Motivation
"LG:	I’m sure if it was something minor that they could give them the opportunity, but I think the Department of Labor was very strict about this is the contract we have with Mexico and the United States, and we want it to work, if you’re not interested in doing the right thing, then it would have been a big loss to the farmer, because there were no workers",lg im sure something minor could give opportunity think department labor strict contract mexico united states want work youre interested right thing would big loss farmer workers,299,0.6765491083809494,Migration Motivation
"So, this would, I think, stop some of the illegal immigration to a certain extent, because it would allow people to come in and work on contracts",would think stop illegal immigration certain extent would allow people come work contracts,-1,0.0,Migration Motivation
FC:	Is there anything else you would like to add regarding the time you worked with the bracero program that you got involved,fc anything else would like add regarding time worked bracero program got involved,36,0.9699359563038104,Migration Motivation
"MC:	I worked on and off till 1960—let’s see, 1961, ’62, because they closed up in either ’63 or ’64 was the last year that they contracted braceros, but they had been contracting since, I think, the forties",mc worked till 1960lets see 1961 62 closed either 63 64 last year contracted braceros contracting since think forties,18,1.0,Migration Motivation
"I think he had them contracted, because they got them from the El Paso Valley—what was it—El Paso Valley—I thought about it yesterday—Cotton Association",think contracted got paso valleywhat itel paso valleyi thought yesterdaycotton association,79,0.3821058685410805,Migration Motivation
They would be contracted to wherever they were told they were going to go,would contracted wherever told going go,4,0.596621966568894,Migration Motivation
"When they got to contracting, we would take the 345, the paperwork, and whatever information they had",got contracting would take 345 paperwork whatever information,4,1.0,Migration Motivation
"What we would do is type the contract, which would say their name, their beneficiary, and who their wife was, because sometimes the beneficiary and the wife were not the same",would type contract would say name beneficiary wife sometimes beneficiary wife,28,0.9042909683485024,Migration Motivation
"Once they got through the contracting and typing, then they would go through another department, which was also in contracting",got contracting typing would go another department also contracting,4,1.0,Migration Motivation
"There were times when they spent a week without being contracted, because they all wanted to go to Holly Sugar in Colorado, because they paid very good",times spent week without contracted wanted go holly sugar colorado paid good,156,0.9205598043269125,Migration Motivation
"I would say, “Oh, they’re contracting for Holly Sugar,” because you could see them all running",would say oh theyre contracting holly sugar could see running,156,0.6681652981159574,Migration Motivation
"There were a lot of men that worked there, but mostly it was girls at contracting",lot men worked mostly girls contracting,67,0.5558049367670089,Migration Motivation
"FC:	Okay, not only on the way in the country, but also—  MC:	We had an office there for the Mexican consul and his vice-consul, and of course, we had the head offices there for the contracting",fc okay way country also mc office mexican consul viceconsul course head offices contracting,72,0.8547253565328874,Migration Motivation
"I understand that when they [Bracero Program] started in the forties, it was because of the lack of people to work in the fields here",understand bracero program started forties lack people work fields,-1,0.0,Migration Motivation
"If a man would have to go back to Mexico, he [the farmer] would have to pay again and contract another person",man would go back mexico farmer would pay contract another person,-1,0.0,Migration Motivation
Tellez was the one that would go out and contract people there,tellez one would go contract people,4,1.0,Migration Motivation
"I used to try to talk to them and make them feel at ease, because they were very tense when they got up to contracting",used try talk make feel ease tense got contracting,-1,0.0,Migration Motivation
"When I was at the other office, I was not typing, I was just processing and separating, because I would separate the papers for contracting",office typing processing separating would separate papers contracting,-1,0.0,Migration Motivation
FC:	Were they [braceros] able to keep a copy of their contracts with them,fc braceros able keep copy contracts,4,1.0,Migration Motivation
I remember one time I was typing a contract for one of them,remember one time typing contract one,4,1.0,Migration Motivation
"When we were processing or contracting a loan, we had well over fifty girls",processing contracting loan well fifty girls,-1,0.0,Migration Motivation
"The offices where you worked, like the contracting, you said you were up high—  MC:	They were long buildings",offices worked like contracting said high mc long buildings,4,0.8155833680877285,Migration Motivation
"The next building was still contracting, and that was where we sorted out the paperwork",next building still contracting sorted paperwork,4,1.0,Migration Motivation
"Four doors—  FC:	You said that besides typing the contracts, you also had to separate the papers and file them",four doors fc said besides typing contracts also separate papers file,88,0.5474102148060424,Migration Motivation
Let’s say a bracero went through the processing center and finished his contract,lets say bracero went processing center finished contract,4,0.7314093217393879,Migration Motivation
"FC:	If he wanted to return for another contract, did he have to pass through the processing center",fc wanted return another contract pass processing center,-1,0.0,Migration Motivation
"Sometimes, when it was heavy, when we had to work with the braceros contracting during the season, then we worked seven days a week",sometimes heavy work braceros contracting season worked seven days week,-1,0.0,Migration Motivation
FC:	What do you feel were the advantages and disadvantages of the Bracero Program,fc feel advantages disadvantages bracero program,36,0.7112239020838844,Migration Motivation
"Like they said, “A la mejor,” to whether they’re going to make it or not, if they are going to get contracted, if they are going to be sent back to Mexico, or if they are healthy enough to stay or not",like said mejor whether theyre going make going get contracted going sent back mexico healthy enough stay,118,0.333587050625579,Migration Motivation
"Basically, I worked about five, seven, or eight years with the bracero program",basically worked five seven eight years bracero program,115,0.8744923863532499,Migration Motivation
"It was, “The bracero program in the Economic and Cultural Dynamics of Mexico: The Case of Chihuahua",bracero program economic cultural dynamics mexico case chihuahua,-1,0.0,Migration Motivation
I got their ideas on what was good and what was the impact of the bracero program,got ideas good impact bracero program,36,1.0,Migration Motivation
"RH:	I was talking to a man, I can’t remember where, and I told him that I was doing a study on the bracero program",rh talking man cant remember told study bracero program,36,1.0,Migration Motivation
"We should have a legal program to allow Mexicans to work in the United States and have the safeguards of a minimum wage, at least, insurance, and period of contract guaranteed work",legal program allow mexicans work united states safeguards minimum wage least insurance period contract guaranteed work,299,0.7241087159994153,Migration Motivation
"I just can’t [understand], particularly religious people that oppose the bracero program",cant understand particularly religious people oppose bracero program,36,0.9411777100724426,Migration Motivation
"I think it [bracero program] was very necessary to Mexico, because people had a way out",think bracero program necessary mexico people way,-1,0.0,Migration Motivation
"They could stay eighteen months, but then they would get recontracted and stay another eighteen months",could stay eighteen months would get recontracted stay another eighteen months,107,1.0,Migration Motivation
"These guys, a lot of the time, begged the farmers to renew their contract",guys lot time begged farmers renew contract,1,1.0,Migration Motivation
Our farm bureau board wanted us to abide by the contract,farm bureau board wanted us abide contract,1,0.6405027875304313,Migration Motivation
"”  To me, the bracero program was a friendship program as well as an economic program",bracero program friendship program well economic program,36,1.0,Migration Motivation
I didn’t ever feel guilty about working with the bracero program,didnt ever feel guilty working bracero program,36,0.4548937246360367,Migration Motivation
"KN:	When the bracero completed his contract with the farmer, you said they were contracted to the farm bureau, not the individual farmer",kn bracero completed contract farmer said contracted farm bureau individual farmer,1,1.0,Migration Motivation
"He would bring his people in, and we would make sure that everything was settled out according to the contract",would bring people would make sure everything settled according contract,4,1.0,Migration Motivation
"The year the bracero program was working well, they controlled the wetbacks",year bracero program working well controlled wetbacks,36,1.0,Migration Motivation
"There was a year or two, right toward the end of the bracero program, where they didn’t have very many wetbacks",year two right toward end bracero program didnt many wetbacks,36,0.9146776833967631,Migration Motivation
Give them a contract and make it tough on the employers that don’t go along with it,give contract make tough employers dont go along,4,1.0,Migration Motivation
"[We should] reinstate the old bracero program, for everybody, not just for farmers",reinstate old bracero program everybody farmers,1,1.0,Migration Motivation
RB:	What’s the first thing you remember about the Bracero Program,rb whats first thing remember bracero program,36,0.6750239235193487,Migration Motivation
"Wouldn’t the idea of having a contract and being a sort of legal bracero that would be much better than being illegal, because you could be picked up and sent back",wouldnt idea contract sort legal bracero would much better illegal could picked sent back,333,0.365370713692039,Migration Motivation
"The farmer would come and say, “I need ten”, and he’d take ten out of the pool, no, these people were already contracted",farmer would come say need ten hed take ten pool people already contracted,11,0.9449012097255689,Migration Motivation
"We’d do it together, and then the rest we did by the hour, the weeding of the beets and the carrots, and that sort of thing, but the beets were the only ones that were contracted",wed together rest hour weeding beets carrots sort thing beets ones contracted,231,1.0,Migration Motivation
"I know that a bunch of apple growers got together, and they would contract some pickers",know bunch apple growers got together would contract pickers,120,1.0,Migration Motivation
"RV:	They would be taken to the compound were they were contracted out, and from there they would be shipped out, how, I don’t know",rv would taken compound contracted would shipped dont know,4,1.0,Migration Motivation
"RV:	They usually tried to contract farm workers, but you know, people wanted to come to work",rv usually tried contract farm workers know people wanted come work,1,1.0,Migration Motivation
"So, living in deep poverty, I asked the chairman of Manuel Doblado to give me a number—in other words, a space to come as a bracero to the United States",living deep poverty asked chairman manuel doblado give numberin words space come bracero united states,183,0.41169425957111416,Migration Motivation
"JL:	Well, my godfather who was named Camilo Loza—my father’s cousin—had been a bracero, and since I had had a very beautiful relationship with my godfather since I was a boy—[I was] a young man at that time—he told me: “Maybe one day you can go to the United States, godson",jl well godfather named camilo lozamy fathers cousinhad bracero since beautiful relationship godfather since boyi young man timehe told maybe one day go united states godson,-1,0.0,Migration Motivation
"JL:	Well, it was 1957 when my godfather began to tell me that, because he saw that there was a strong need and he tried to motivate me [to become a bracero]",jl well 1957 godfather began tell saw strong need tried motivate become bracero,-1,0.0,Migration Motivation
"When I got the number that [the chairman] gave me to come and try my luck at the contracting center in Monterrey, I talked to my dad and he said: “Well, here are three things",got number chairman gave come try luck contracting center monterrey talked dad said well three things,3,1.0,Migration Motivation
