Original Sentence,Cleaned Sentence,Predefined Topic,BERTopic Topic,Topic Probability
"Sí, más o menos, fue lo que estuvimos allá, como un mes, un mes y cachito yo creo",menos allá mes mes cachito creo,Violence / Violencia,-1,0.0
"En la Hachita, Nuevo México, ta de Deming así para el lado de Palomas",hachita nuevo méxico ta deming así lado palomas,Violence / Violencia,124,0.6859582642374753
"ME:	Y yo estaba de guardia en de ese día y me tocó hablar a todos los traductores de, códices y para que de una vez vinieran a decodificar la información que sucedió, que estaban mandando a todos los consulados del mundo",guardia día tocó hablar traductores códices vez vinieran decodificar información sucedió mandando consulados mundo,Violence / Violencia,362,1.0
"Entonces mi papá se hizo de un terrenito y en el ranchito ahí en la casa tenía sus puerquitos, sus marranitos, tenía la vaquita, tenía la gallina, tenía el conejo, total que nosotros hambre nunca la tuvimos",entonces papá hizo terrenito ranchito ahí casa puerquitos marranitos vaquita gallina conejo total hambre nunca,Violence / Violencia,242,0.7851151457687489
"Porque allá nadie tiene caballada, mulada, pos la guardan nomás para el caballito dominguero, para los niños para que anden en sus caballitos",allá nadie caballada mulada pos guardan nomás caballito dominguero niños anden caballitos,Violence / Violencia,-1,0.0
"(risas) Pos que la gente venía, estaba, contenta, estaba alegre, se portaban bien, había seguridad ahí, había guardias y todo así es que todo, todo se hacía en paz, no había desorden de ningún tipo",risas pos gente venía contenta alegre portaban bien seguridad ahí guardias así hacía paz desorden ningún tipo,Violence / Violencia,11,1.0
"FC:	Y ustedes, bueno, guardaban los archivos me imagino diariamente, ¿verdad",fc ustedes bueno guardaban archivos imagino diariamente verdad,Violence / Violencia,9,0.726811840481715
"It was so funny, because when they came in, a lot of them came in from Oaxaca and different places like that, and they would come in with their white clothes, they came in with huaraches, those sandals",funny came lot came oaxaca different places like would come white clothes came huaraches sandals,Violence / Violencia,87,0.12315800438404578
"We didn’t know what they had, bronchitis, tuberculosis, or VD [venereal disease]",didnt know bronchitis tuberculosis vd venereal disease,Violence / Violencia,255,0.24108378977251863
"LM:	Usted sabe, pochitos, americanos que hablaban poco el español, nos procuraban mucho",lm usted sabe pochitos americanos hablaban español procuraban,Violence / Violencia,36,0.0737216197422081
"NH:	Muy bonito, unas casitas, un ranchito muy bonito",nh bonito unas casitas ranchito bonito,Violence / Violencia,-1,0.0
Entonces se vino y me quiso golpear y salió golpeado,entonces vino quiso golpear salió golpeado,Violence / Violencia,158,0.984089998508557
"Y pos no tenía yo ni cartilla y aquí tengo mi cartilla desde, de la, del servicio militar de México, y eso le hablo la verdad porque pos allá me querían castigar porque no marché",pos cartilla aquí cartilla servicio militar méxico hablo verdad pos allá querían castigar marché,Violence / Violencia,-1,0.0
"Sí y luego yo por los ranchitos chiquitos, juntaba el que iba acabando de piscar, a veces que los juntaban me los daban a mí",luego ranchitos chiquitos juntaba iba acabando piscar veces juntaban daban,Violence / Violencia,-1,0.0
"Of course, they used to beat us, because they had nothing else to do but practice",course used beat us nothing else practice,Violence / Violencia,-1,0.0
"RV:	It was usually white, and it was a real fine canvas-like material, like a flower shop material",rv usually white real fine canvaslike material like flower shop material,Violence / Violencia,6,0.4827225572928493
"They were kinda like, I would say, weather beaten, for years, it’s not been the years—life has not been kind to them, you could tell",kinda like would say weather beaten years yearslife kind could tell,Violence / Violencia,-1,0.0
"RA:	Bueno, pos yo nací en el Municipio de Gran Morelos, en un ranchito que está cerca de ahí del municipio, Gran Morelos, Chihuahua",ra bueno pos nací municipio gran morelos ranchito cerca ahí municipio gran morelos chihuahua,Violence / Violencia,15,1.0
"Y luego, es que un día antes había un teniente, un oficial, del Ejército, ese se encargaba de revisar las cartillas poquito antes de entrar, aquí estaba ese oficial y soldados ahí pa guardar el orden y ya cuando daban grito, bueno, llegaban con el jefe de contratación y allí había un fotógrafo ahí que pagaba uno $3 pesos pa que lo retrataran",luego día teniente oficial ejército encargaba revisar cartillas poquito entrar aquí oficial soldados ahí pa guardar orden daban grito bueno llegaban jefe contratación allí fotógrafo ahí pagaba 3 pesos pa retrataran,Violence / Violencia,-1,0.0
"FC:	Y en el tiempo que estuvo usted ahí trabajando en este ranchito, aquí en Ysleta, ¿le tocó que contrataran a algún ilegal",fc tiempo usted ahí trabajando ranchito aquí ysleta tocó contrataran algún ilegal,Violence / Violencia,100,0.4505849864140727
"Yo sabía porque vine, yo vine y lo… Ahí tiene un ranchito él, cerquita de Ysleta, on taba La Asociación",sabía vine vine ahí ranchito cerquita ysleta taba asociación,Violence / Violencia,23,0.827280399177844
"Y este, las muchachitas nos llevaban a correr su parque y otra y entonces nos llevaron ahí a, nos decían que si queríamos ir a jugar pelota o algo ahí en el cementerio",muchachitas llevaban correr parque entonces llevaron ahí decían si queríamos ir jugar pelota ahí cementerio,Violence / Violencia,-1,0.0
"(entrevista interrumpida)  CP:	Bueno, mire, aquí en la, aquí en esta casa porque anduvimos donde quiera, nos cambiamos acá de allá donde nació la hermana de ella, Conchita, Cande nació allá y otra de ellas nació, aquella muchacha, ¿sabe dónde estaba una tortillería El Barrón",entrevista interrumpida cp bueno mire aquí aquí casa anduvimos quiera cambiamos acá allá nació hermana conchita cande nació allá nació aquella muchacha sabe dónde tortillería barrón,Violence / Violencia,314,0.24651527197633455
"Ahí estaba una casita, ahí nació una de mis hijas, Conchita",ahí casita ahí nació hijas conchita,Violence / Violencia,12,0.5997629571145338
"Porque y hablando de eso, una vez me acuerdo este, mi hermano, ya íbamos él y yo, nos llevaron, nos invitaron esas muchachitas a conocer los papás de ella, de ellas",hablando vez acuerdo hermano íbamos llevaron invitaron muchachitas conocer papás,Violence / Violencia,7,0.7525793960727932
"Y lo mismo el, el sugar beat es este, una que así como jícama, así enorme, grandota, la poníamos aquí, le dábamos trancazos, caía la, caían las hojas y llenábamos, no costales, eran este…  VD:	¿Cajas",mismo sugar beat así jícama así enorme grandota poníamos aquí dábamos trancazos caía caían hojas llenábamos costales vd cajas,Violence / Violencia,-1,0.0
"JO:	Sí había escuela, pero nosotros teníamos un ranchito que era, era como una hacienda y pos no había escuela, porque no había este, pues en aquel tiempo se usaban mucho las escuelas este, rurales, ¿verdad",jo escuela ranchito hacienda pos escuela pues aquel tiempo usaban escuelas rurales verdad,Violence / Violencia,42,0.904842243411136
"Y yo soy de un ranchito ahí cerquita de Doctor Arroyo, pero digo yo, pos es Doctor Arroyo",ranchito ahí cerquita doctor arroyo digo pos doctor arroyo,Violence / Violencia,58,0.7360428808923875
"El ranchito se llamaba El Buey, que le decían El Buey (ininteligible) a él",ranchito llamaba buey decían buey ininteligible,Violence / Violencia,-1,0.0
"JO:	Ahí en el ranchito, ahí vivimos hasta el… 2do:	Hasta 1963",jo ahí ranchito ahí vivimos 2do 1963,Violence / Violencia,8,0.8930302440726043
"Y ahí esas cinco personas pos que es que, pos los dejaba uno malos compañeros, que eran conflictivos, que pos trataban de andar con coraje, pos tenía uno razón porque pos tanto trabajaba pobre gente",ahí cinco personas pos pos dejaba malos compañeros conflictivos pos trataban andar coraje pos razón pos trabajaba pobre gente,Violence / Violencia,94,0.7918962700463508
"Todo eso se quedó allá en un, guardado, pero ya ahorita ya el rancho ya ni existe",quedó allá guardado ahorita rancho existe,Violence / Violencia,0,1.0
"Cuando entró ése, una vez hizo una hilera de carrizos y las puso derechitas y luego dice: “Ora, a ver quién se hecha esa raya”",entró ése vez hizo hilera carrizos puso derechitas luego dice ora ver quién hecha raya,Violence / Violencia,26,0.7411498027844632
"Duré en, yo creo que a lo mejor son unos dos años sin ir por allá pa mi casa, pos andaba arreglando papeles, no tenía que salir de ahí y me tuve que aguardar",duré creo mejor dos años ir allá pa casa pos andaba arreglando papeles salir ahí aguardar,Violence / Violencia,98,0.9568701029452783
"Entonces en aquellos tiempos sí, con un guardadito más o menos sí hacía, llegó a hacer dinerito, pero era contada la gente",entonces aquellos tiempos guardadito menos hacía llegó hacer dinerito contada gente,Violence / Violencia,1,1.0
Contada la gente que hacía ese dinero porque se dedicaban nomás a puro trabajar y a puro guardar,contada gente hacía dinero dedicaban nomás puro trabajar puro guardar,Violence / Violencia,129,1.0
"No, pues ya se, luego se (ininteligible) guardaganados, pues estaba angostito",pues luego ininteligible guardaganados pues angostito,Violence / Violencia,-1,0.0
"Luego me agarré otro trabajo aquí en la Calcachú, maderería de Calcachú que está aquí, también está por el Mont White, ahí así está, ¿sabe dónde está lo de Mont White",luego agarré trabajo aquí calcachú maderería calcachú aquí mont white ahí así sabe dónde mont white,Violence / Violencia,-1,0.0
", entonces ella este, mi señora estuvo guardando dinero, guardando dinero",entonces señora guardando dinero guardando dinero,Violence / Violencia,1,0.894719422310589
"Y me acuerdo que, que del, nombraban el ranchito ahí este, Casa Blanca",acuerdo nombraban ranchito ahí casa blanca,Violence / Violencia,-1,0.0
"BT:	Pos con lo que yo tenía, porque yo, en La Asociación yo, el dinero en vez de traerlo, yo se lo daba al patrón que me lo guardara pa cuando yo lo necesitara",bt pos asociación dinero vez traerlo daba patrón guardara pa necesitara,Violence / Violencia,1,1.0
"Lo sacaban del horno y lo acomodábamos en una tabla así de anchita, cuatro piezas en cada, en cada este, ¿qué dijera yo",sacaban horno acomodábamos tabla así anchita cuatro piezas cada cada dijera,Violence / Violencia,97,0.7321466758362983
"Ya ve que siempre estamos deseando comprar algún mueblecito o algún animal, digamos, o en cambio a guardar un dinero para más adelante, no sabemos, pues sí",siempre deseando comprar algún mueblecito algún animal digamos cambio guardar dinero adelante sabemos pues,Violence / Violencia,91,0.3026437026941151
"Allá no, allá llegan derechito y: “A ver, ¿qué, qué tiene aquí",allá allá llegan derechito ver aquí,Violence / Violencia,54,0.6452180814523666
"Llegó acá el borrachito y luego luego nos llamó a todos a tomar, y sí le agarraron una cerveza, pues como quiera, y a mí me llamó y este, no quise, no quise cerveza",llegó acá borrachito luego luego llamó tomar agarraron cerveza pues quiera llamó quise quise cerveza,Violence / Violencia,62,0.6863150357185355
"Y el médico del, de las reservas y de la primera división fue el que me curó a mí un pie que tenía yo golpeado, éste, el izquierdo, lo tenía yo, bueno ya me lo habían enderezado, pero me dolía mucho y se me inflaba",médico reservas primera división curó pie golpeado éste izquierdo bueno enderezado dolía inflaba,Violence / Violencia,58,0.34417914942846745
"EF:	Los, los apretaba pa sacarles el jugo y los volvía a guardar y se comía la tortilla con el jugo",ef apretaba pa sacarles jugo volvía guardar comía tortilla jugo,Violence / Violencia,50,0.45328000272822316
"Yo estaba sentado en la orilla de la piscina, me voy, derechito jui a dar a ella, derechito",sentado orilla piscina voy derechito jui dar derechito,Violence / Violencia,-1,0.0
"Luego luego llegó el, los, los esos que están resguardando que no se fijaron cómo cayó ni, ni les llamó la atención ir a sacarla",luego luego llegó resguardando fijaron cómo cayó llamó atención ir sacarla,Violence / Violencia,158,1.0
"JV:	No, eran de ahí de un ranchito que se llama Potrerillos, Guanajuato",jv ahí ranchito llama potrerillos guanajuato,Violence / Violencia,-1,0.0
"Tuve que mocharle y yo estaba guardando las puertitas, pero no, pos llegó el día que se desapareció todo eso, nomás nos quedaron dos banquitos",mocharle guardando puertitas pos llegó día desapareció nomás quedaron dos banquitos,Violence / Violencia,139,0.46286055443646473
"Así la, los mismo compañeros ahí pues tratábamos de que no, no se golpearan y ya pues les pasaba y ya",así mismo compañeros ahí pues tratábamos golpearan pues pasaba,Violence / Violencia,70,1.0
"JS:	O sea que guardamos un poco pa acá y ya lo demás casi todo lo molemos, forraje pa los animales",js guardamos pa acá demás casi molemos forraje pa animales,Violence / Violencia,91,0.8847829285282306
JS:	No pues gracias a usted que haya gente quién se preocupe por guardar como una historia del país de uno,js pues gracias usted gente quién preocupe guardar historia país,Violence / Violencia,-1,0.0
